seed,study,n_obs,distance_from_training_centroid,mae
28,"Gonzales et al., 2016",3,0.017733249999999978,0.020538604888889003
28,"Ottaviano et al., 2016",2,0.056166750000000015,0.03370000000000001
28,"Akhbari & Ibrahim, 2022",13,0.08740478846153844,0.09175282701898119
28,"Fan et al., 2005",3,0.07943325,0.038067040444444734
28,"Trad et al., 2015",2,0.013533249999999997,0.048402208261905444
28,"Di Perta et al., 2022",11,0.02425143181818179,0.056732797127508776
28,"Derdiche et al., 2025",5,0.08646324999999999,0.038819060395382556
29,"Panagiotopoulos et al., 2010",4,0.16915605294117647,0.05485650299999964
29,"Liu et al., 2015",2,0.07776894705882353,0.11133247666666635
29,"Fan et al., 2005",3,0.06776894705882354,0.02975410423809535
29,"Zhang et al., 2006",2,0.010921052941176457,0.009628427166666564
29,"Lee et al., 2014",3,0.056002280392156864,0.10481356083333344
29,"Kontodimos et al., 2025",2,0.13161894705882354,0.36661481853391076
30,"Cao et al., 2014",4,0.06166641823899371,0.061348855523809524
30,"Levin et al., 2006",2,0.038310081761006295,0.06109602971428571
30,"Panagiotopoulos et al., 2010",4,0.1975850817610063,0.15107876654761898
30,"Martins et al., 2022",3,0.1008999182389937,0.1275796076666668
30,"Valdezvazquez et al., 2004",2,0.15216008176100632,0.05347776233333354
30,"Mars et al., 2010",2,0.23116008176100633,0.16954777000000007
30,"Lee et al., 2014",3,0.02757325157232704,0.02181204166666655
30,"Akinbomi & Taherzadeh, 2015",9,0.35554897064989527,0.4143141690634923
31,"Alibardi & Cossu, 2014",4,0.10469710077519381,0.06872430538095241
31,"Łukajtis et al., 2018",9,0.020350677002583972,0.11619974266137538
31,"Cárdenas et al., 2018",16,0.15644085077519382,0.0841958501904762
31,"Akhbari & Ibrahim, 2022",13,0.10166863923673226,0.09259357620046631
31,"Fan et al., 2005",3,0.09369710077519382,0.031395070285714664
31,"Albuquerque et al., 2024",11,0.04473255532064836,0.06760860164502179
31,"Kontodimos et al., 2025",2,0.15754710077519382,0.29352845782683973
32,"Ivanova et al., 2009",6,0.09854333950617285,0.2061747718888887
32,"Ottaviano et al., 2016",2,0.08227832716049382,0.10931089495238083
32,"Valdezvazquez et al., 2004",2,0.13817832716049383,0.0808482552142862
