model,protocol,augmented,seed,r2,rmse,mae,n_test,n_test_studies,ladder
RandomForest,study_grouped,0,22,-0.12352068782635683,0.13311979739895033,0.11024734612018251,29,16,study_grouped
RandomForest,study_grouped,0,23,0.39262374363955854,0.08652459099911282,0.07449626813136866,39,16,study_grouped
RandomForest,study_grouped,0,24,-0.9321324196529708,0.1461191467829748,0.10994331981183544,20,16,study_grouped
RandomForest,study_grouped,0,25,-0.9724208053062331,0.15787195426172546,0.12101846109294577,36,16,study_grouped
RandomForest,study_grouped,0,26,-0.0036121221307650053,0.09960113974354115,0.08409283864538153,33,16,study_grouped
RandomForest,study_grouped,0,27,-0.12600084286085278,0.11623217774030926,0.10466800418844906,21,16,study_grouped
RandomForest,study_grouped,0,28,-0.17851859361111289,0.07964088789168575,0.06306755986925813,48,16,study_grouped
RandomForest,study_grouped,0,29,-0.46924776545531777,0.13630494221190667,0.09512204950169273,26,16,study_grouped
RandomForest,study_grouped,0,30,-0.8826061802655285,0.2431922711813164,0.1822250670611326,37,16,study_grouped
RandomForest,study_grouped,0,31,-0.316016207932299,0.11401839622086693,0.08735592036632855,67,16,study_grouped
RandomForest,study_grouped,0,32,-0.7810573439242094,0.25657054040878335,0.20435822480392168,34,16,study_grouped
RandomForest,study_grouped,0,33,-0.6925167862394794,0.13966789317777809,0.09913048039355571,47,16,study_grouped
RandomForest,study_grouped,0,34,0.05706707407505596,0.1034873106656272,0.08619263830841381,39,16,study_grouped
RandomForest,study_grouped,0,35,-0.2014708514615664,0.10069380170205905,0.08766199898969856,36,16,study_grouped
RandomForest,study_grouped,0,36,-0.21963216847686717,0.12203137381355596,0.09259315172009563,38,16,study_grouped
RandomForest,study_grouped,0,37,-1.0099619933573436,0.12918505789803236,0.11094762765239509,27,16,study_grouped
RandomForest,study_grouped,0,38,0.275188191115762,0.09689748423303104,0.07581571803896694,47,16,study_grouped
RandomForest,study_grouped,0,39,0.3464439475983071,0.09384965743488015,0.06914020233822353,27,16,study_grouped
CatBoost,study_grouped,0,0,0.367314155620171,0.08376867275718945,0.06723910136015859,32,16,study_grouped
CatBoost,study_grouped,0,1,0.2597672790625084,0.08823381280698119,0.07451843801399625,30,16,study_grouped
CatBoost,study_grouped,0,2,-0.15141955842374477,0.10511262249688888,0.0785617931292257,20,16,study_grouped
CatBoost,study_grouped,0,3,-0.05097724555383687,0.12016099329958939,0.09776956824298627,21,16,study_grouped
CatBoost,study_grouped,0,4,0.12452042486155712,0.08119862648821037,0.06382967777695253,44,16,study_grouped
CatBoost,study_grouped,0,5,-0.291350449554052,0.09204377139217798,0.0690472418510982,39,16,study_grouped
CatBoost,study_grouped,0,6,0.2662847363226155,0.09834975930872326,0.07300086437336036,48,16,study_grouped
CatBoost,study_grouped,0,7,0.3362772943222613,0.09285322940619992,0.06678496286686417,49,16,study_grouped
CatBoost,study_grouped,0,8,-0.6675428474337466,0.22629606660382318,0.15380231554305776,39,16,study_grouped
