resample,study,n,study_mean,dist_from_train_mean,mae
16,"Slezak et al., 2017",1,0.076,0.08854520618556701,0.014322971587301433
16,"Ghimire et al., 2015",4,0.0995,0.065045206185567,0.0452282481746032
16,"Azbar et al., 2009",3,0.19799033333333335,0.033445127147766346,0.04787081173280446
16,"Gómez et al., 2006",1,0.0713,0.093245206185567,0.06899763999999997
16,"Chaganti et al., 2012",1,0.056,0.10854520618556701,0.14163885000000004
16,"Cai et al., 2009",1,0.0072,0.157345206185567,0.18082632500000004
16,"Rydén & Lyngfelt, 2006",1,0.00102,0.163525206185567,0.11845029166666682
16,"Pendyala et al., 2012",1,0.056,0.10854520618556701,0.04266224999999938
16,"Chen et al., 2007",1,0.1539,0.010645206185566997,0.024495033333332833
16,"Nam et al., 2015",1,0.062,0.102545206185567,0.04424562470238119
16,"Bundhoo et al., 2015",1,0.2239,0.05935479381443298,0.03720628988095215
16,"Cao et al., 2014",4,0.0486735,0.115871706185567,0.10088327028025822
16,"Gavala et al., 2005",1,0.0463,0.118245206185567,0.24859099377802807
16,"Luo et al., 2010",2,0.06005,0.10449520618556701,0.237413936792028
16,"Ottaviano et al., 2016",2,0.2066,0.042054793814433,0.06836513189310722
17,"Collet, 2004",2,0.07365,0.08515915384615386,0.20433832666666696
17,"Sun et al., 2014",1,0.2737,0.11489084615384615,0.06310009833333305
17,"Gonzales et al., 2016",3,0.1327,0.026109153846153837,0.031816090069444365
17,"Gómez et al., 2006",1,0.0713,0.08750915384615385,0.06832971825000012
17,"Chaganti et al., 2012",1,0.056,0.10280915384615386,0.08869591249999975
17,"Cai et al., 2009",1,0.0072,0.15160915384615384,0.1739483175
17,"Jariyaboon et al., 2023",3,0.1069,0.051909153846153855,0.06868620345196505
17,"Jain et al., 2022",1,0.3732,0.21439084615384613,0.18335843313491978
17,"Massanet-Nicolau et al., 2009",1,0.027,0.13180915384615385,0.06143987812770575
17,"Rydén & Lyngfelt, 2006",1,0.00102,0.15778915384615386,0.06634418146103915
17,"Derdiche et al., 2025",5,0.06497,0.09383915384615385,0.0708975850503247
17,"Kargi & Pamukoglu, 2009",1,0.3857,0.22689084615384614,0.23145324166666625
17,"Yang et al., 2006",1,0.1045,0.054309153846153854,0.13569947500000035
17,"Mandal et al., 2006",2,0.3608,0.20199084615384616,0.15674916666666683
