protocol,model,resample,r2,rmse,mae,n_test,n_test_studies
rowwise,CatBoost,33,0.4038841467938056,0.11433286611326067,0.08641674731234152,45,
rowwise,CatBoost,34,0.43714293524697023,0.09696393845452574,0.0665761911901484,45,
rowwise,CatBoost,35,0.30353783060107,0.12203204649093644,0.08339883597955337,45,
rowwise,CatBoost,36,0.487850559747421,0.12130020788807688,0.08767857741004761,45,
rowwise,CatBoost,37,0.3390477876001069,0.11084422915222394,0.08001415053303362,45,
rowwise,CatBoost,38,0.348961478856026,0.1324760265247272,0.09920041493377871,45,
rowwise,CatBoost,39,0.5168229281101877,0.08880424632914996,0.06685720183737248,45,
grouped,Random Forest,0,0.2345037911026454,0.09194942151742609,0.0705420189520655,37,17.0
grouped,Random Forest,1,0.35279078724461366,0.11147604073987416,0.09308912742150786,48,17.0
grouped,Random Forest,2,-0.00030984817671741993,0.14682727434507858,0.11978261228747665,58,17.0
grouped,Random Forest,3,-0.22175457293492862,0.13340994666972017,0.11829181007828282,52,17.0
grouped,Random Forest,4,-0.2139767964911954,0.08807875529341598,0.07007264077084023,36,17.0
grouped,Random Forest,5,-0.45393715840205817,0.11594417530741709,0.10314718324010062,47,17.0
grouped,Random Forest,6,-0.0850935985540755,0.11012364353506536,0.09892344055536757,53,17.0
grouped,Random Forest,7,-0.5167729918629154,0.11444054291804438,0.09359600426410161,61,17.0
grouped,Random Forest,8,-0.9378778961847716,0.23425844133879467,0.1699763788363653,42,17.0
grouped,Random Forest,9,0.31815786264835666,0.12280854831673813,0.09855942551908933,72,17.0
grouped,Random Forest,10,0.27131743903466166,0.1171919215535947,0.08886029600217453,54,17.0
grouped,Random Forest,11,0.23107259047042905,0.08230967788333764,0.05937488843519461,32,17.0
grouped,Random Forest,12,0.26849605565966805,0.13223757088756796,0.10825289640827247,80,17.0
grouped,Random Forest,13,0.42156646281384835,0.10119399781365783,0.08155925978072813,39,17.0
grouped,Random Forest,14,-0.1509938414325016,0.12154896986575044,0.09176059561011611,41,17.0
grouped,Random Forest,15,-0.16733981866403513,0.09889428726985947,0.07979655197604976,28,17.0
grouped,Random Forest,16,-1.5835689951258543,0.10978558826504918,0.08227640040314554,30,17.0
grouped,Random Forest,17,-0.12314480674648265,0.12468965450230975,0.10135125809590416,29,17.0
grouped,Random Forest,18,-0.7720649999673046,0.2575949772730386,0.19337663653789666,30,17.0
grouped,Random Forest,19,0.11162083394309619,0.1206079598771733,0.09420385147906518,51,17.0
grouped,Random Forest,20,-0.40338365191346126,0.21259997060690344,0.15158715320542815,61,17.0
grouped,Random Forest,21,-0.3292656621935166,0.10113109824166339,0.08602946762926043,57,17.0
grouped,Random Forest,22,-0.3834884734025077,0.16494036252976305,0.1377089139616979,46,17.0
grouped,Random Forest,23,0.21832834887529062,0.11280083122491395,0.09610384269383901,55,17.0
grouped,Random Forest,24,-0.4932268184001769,0.1657235256150355,0.13918737310990623,38,17.0
grouped,Random Forest,25,-0.7511572341865422,0.1621311441393025,0.1271355468663457,32,17.0
grouped,Random Forest,26,-0.08424257129172363,0.1091256022301576,0.08479378828409749,31,17.0
grouped,Random Forest,27,-0.7085297513970046,0.24352777859937141,0.17756231390510205,35,17.0
grouped,Random Forest,28,0.21896939912219404,0.12878263869678586,0.09735018794930779,63,17.0
grouped,Random Forest,29,-0.05726086691164678,0.17186746346901163,0.1397591454032712,33,17.0
grouped,Random Forest,30,-0.693500463356894,0.2369259558847333,0.17753894382553212,48,17.0
grouped,Random Forest,31,-0.10637674615158788,0.11248350324399381,0.09288340274333876,77,17.0
grouped,Random Forest,32,-0.44430758502915113,0.208806920201165,0.1522315388961639,63,17.0
grouped,Random Forest,33,-0.5073428941630347,0.1268801250383678,0.09728744825724564,39,17.0
grouped,Random Forest,34,-0.3704990684602891,0.13496704639349494,0.10899877833885466,45,17.0
